X,Y,FID,OBJECTID,Year,Region,StatArea,Section,LocationCo,LocationNa,SpawnNumbe,Eastings,Northings,Longitude,Latitude,Start,End_,Length,Width,Method,SurfSI,MacroSI,UnderSI,CombinedSI,gis_date,decade,year_txt
-13815323.1047,6320922.38,4923,17799,2003,SoG,17,172,1001,Wallis Pt,1, , ,-124.105159,49.27072,20030323000000,NA,4130,129,Dive,0,0,2307.854502,2307.854502,2003/01/02,2000s,2003
-13807358.4178,6317151.2458,4924,17800,2003,SoG,17,172,1002,Icarus Pt,1, , ,-124.033611,49.248611,20030323000000,NA,3190,247,Dive,0,0,3259.289627,3259.289627,2003/01/02,2000s,2003
-13818552.2605,6324022.7334,4925,17801,2003,SoG,17,172,1366,Nankivell Pt,1, , ,-124.134167,49.288889,20030323000000,NA,2600,124,Dive,0,0,2008.382389,2008.382389,2003/01/02,2000s,2003
-13820438.4579,6320278.1877,4926,17802,2003,SoG,17,172,1368,Ranch Pt,1, , ,-124.151111,49.266944,20030323000000,NA,3540,50,Dive,0,0,442.649702,442.649702,2003/01/02,2000s,2003
-13794154.7016,6305390.8835,4927,17803,2003,SoG,17,172,1440,Protection Is E,1, , ,-123.915,49.1796,20030323000000,NA,1790,48,Dive,0,0,168.4933428,168.4933428,2003/01/02,2000s,2003
-13798019.937,6313646.69210001,4928,17804,2003,SoG,17,172,1563,Lagoon Hd,1, , ,-123.949722,49.228056,20030323000000,NA,1330,101,Dive,0,0,590.1497465,590.1497465,2003/01/02,2000s,2003
-13806177.2067,6316518.4257,4929,17805,2003,SoG,17,172,1573,Sunrise Beach +,1, , ,-124.023,49.2449,20030323000000,NA,2350,49,Dive,0,0,461.9154749,461.9154749,2003/01/02,2000s,2003
-13775385.011,6281321.1697,4930,17806,2003,SoG,17,173,941,Yellow Pt,1, , ,-123.746389,49.038056,20030319000000,2003-03-22,3500,72,Dive,0,0,1447.808496,1447.808496,2003/01/02,2000s,2003
-13781904.2143,6294378.015,4931,17807,2003,SoG,17,173,947,Cedar Ramp +,1, , ,-123.804952,49.114888,20030319000000,2003-03-20,2800,85,Dive,0,0,2118.352286,2118.352286,2003/01/02,2000s,2003
-13776590.935,6272599.3656,4932,17808,2003,SoG,17,173,953,Coffin Pt (Is),1, , ,-123.757222,48.986667,20030322000000,2003-03-25,1400,28,Dive,0,0,51.49771518,51.49771518,2003/01/02,2000s,2003
-13781723.3202,6290905.525,4933,17809,2003,SoG,17,173,954,Boat Hrbr,1, , ,-123.803327,49.094466,20030319000000,2003-03-20,1750,62,Dive,0,0,790.1731051,790.1731051,2003/01/02,2000s,2003
-13779126.5704,6297562.869,4934,17810,2003,SoG,17,173,956,False Nrws,1, , ,-123.78,49.133611,20030323000000,NA,1050,68,Dive,0,0,224.27601,224.27601,2003/01/02,2000s,2003
-13779126.5704,6297562.869,4935,17811,2003,SoG,17,173,956,False Nrws,2, , ,-123.78,49.133611,20030319000000,NA,1400,307,Dive,0,0,603.0745854,603.0745854,2003/01/02,2000s,2003
-13774828.4135,6291940.8991,4936,17812,2003,SoG,17,173,959,De Courcy Is,1, , ,-123.741389,49.100556,20030323000000,NA,7960,112,Dive,0,0,4228.633636,4228.633636,2003/01/02,2000s,2003
-13768334.8137,6297799.1911,4937,17815,2003,SoG,17,173,974,Breakwater Is,1, , ,-123.683056,49.135,20030319000000,NA,1680,100,Dive,0,0,717.1248741,717.1248741,2003/01/02,2000s,2003
-13769293.2745,6299831.5967,4938,17816,2003,SoG,17,173,975,Sear Is,1, , ,-123.691666,49.146944,20030319000000,NA,1350,56,Dive,0,0,434.5358917,434.5358917,2003/01/02,2000s,2003
-13764840.6062,6286841.7617,4939,17817,2003,SoG,17,173,976,Valdes Is,1, , ,-123.651667,49.070556, ,NA,1350,152,Dive,0,0,279.5110923,279.5110923,2003/01/02,2000s,2003
-13770622.9858,6288069.0126,4940,17818,2003,SoG,17,173,980,Ruxton Is,1, , ,-123.703611,49.077778,20030319000000,2003-03-20,3500,45,Dive,0,0,947.3130537,947.3130537,2003/01/02,2000s,2003
-13780363.4413,6297137.5398,4941,17819,2003,SoG,17,173,986,Mudge Is,1, , ,-123.791111,49.131111,20030319000000,2003-03-20,2800,33,Dive,0,0,917.734286,917.734286,2003/01/02,2000s,2003
-13780758.2915,6294689.0819,4942,17820,2003,SoG,17,173,987,Round Is,1, , ,-123.794658,49.116717,20030319000000,2003-03-20,700,30,Dive,0,0,328.339571,328.339571,2003/01/02,2000s,2003
-13778724.5957,6278774.4207,4943,17821,2003,SoG,17,173,988,Kulleet Bay,1, , ,-123.776389,49.023056,20030322000000,2003-03-25,5600,48,Dive,0,0,543.8858321,543.8858321,2003/01/02,2000s,2003
-13782038.577,6296752.8906,4944,17822,2003,SoG,17,173,992,Dodd Nrws S,1, , ,-123.806159,49.12885,20030319000000,2003-03-20,1050,16,Dive,0,0,7.884575762,7.884575762,2003/01/02,2000s,2003
-13774200.9056,6297159.4863,4945,17823,2003,SoG,17,173,1504,Gabriola Is S,1, , ,-123.735752,49.13124,20030319000000,NA,3080,134,Dive,0,0,1601.582852,1601.582852,2003/01/02,2000s,2003
-13771767.1275,6297515.5713,4946,17824,2003,SoG,17,173,1532,Degnen Bay,1, , ,-123.713889,49.133333,20030319000000,NA,2300,211,Dive,0,0,952.2152139,952.2152139,2003/01/02,2000s,2003
-13781136.5551,6290429.7035,4947,17825,2003,SoG,17,173,1561,Flewett Pt,1, , ,-123.798056,49.091667,20030319000000,2003-03-20,1400,65,Dive,0,0,621.3114026,621.3114026,2003/01/02,2000s,2003
-13779015.2509,6287274.0491,4948,17826,2003,SoG,17,173,1771,Yellow Pt N,1, , ,-123.779,49.0731,20030319000000,2003-03-20,2380,43,Dive,0,0,367.5035992,367.5035992,2003/01/02,2000s,2003
-13779015.2509,6287274.0491,4949,17827,2003,SoG,17,173,1771,Yellow Pt N,2, , ,-123.779,49.0731,20030319000000,2003-03-20,560,18,Dive,0,0,42.13378676,42.13378676,2003/01/02,2000s,2003
-13769231.4922,6286180.9691,4950,17828,2003,SoG,17,173,1913,Pylades Is,1, , ,-123.691111,49.066667,20030319000000,2003-03-20,1050,9,Dive,0,0,33.31996602,33.31996602,2003/01/02,2000s,2003
-13953217.8975,6478714.4149,4951,17829,2004,SoG,13,132,766,Deepwater Bay,121, , ,-125.343889,50.186944,20040302000000,2004-03-05,33,20,Surface,18.98880845,0,0,18.98880845,2004/01/02,2000s,2004
-13953217.8975,6478714.4149,4952,17830,2004,SoG,13,132,766,Deepwater Bay,122, , ,-125.343889,50.186944,20040302000000,2004-03-05,113,30,Surface,62.77877528,0,0,62.77877528,2004/01/02,2000s,2004
-13953217.8975,6478714.4149,4953,17831,2004,SoG,13,132,766,Deepwater Bay,123, , ,-125.343889,50.186944,20040302000000,2004-03-05,20,20,Surface,11.90946078,0,0,11.90946078,2004/01/02,2000s,2004
